sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU161,Furniture,General,2023-01-01,22,37.18
SKU162,Kitchen,General,2023-01-01,126,175.56
SKU163,Appliances,General,2023-01-01,180,300.92
SKU164,Kitchen,General,2023-01-01,123,212.65
SKU165,Decor,General,2023-01-01,150,241.82
SKU166,Kitchen,General,2023-01-01,200,380.61
SKU167,Appliances,General,2023-01-01,76,138.79
SKU168,Decor,General,2023-01-01,143,234.41
SKU169,Appliances,General,2023-01-01,80,128.63
SKU170,Appliances,General,2023-01-01,70,104.31
SKU171,Decor,General,2023-01-01,148,200.75
SKU172,Decor,General,2023-01-01,69,108.2
SKU173,Kitchen,General,2023-01-01,190,275.46
SKU174,Kitchen,General,2023-01-01,114,174.6
SKU175,Kitchen,General,2023-01-01,116,155.86
SKU176,Furniture,General,2023-01-01,109,210.74
SKU177,Furniture,General,2023-01-01,157,245.9
SKU178,Kitchen,General,2023-01-01,100,150.9
SKU179,Decor,General,2023-01-01,117,196.18
SKU180,Kitchen,General,2023-01-01,134,194.78
SKU181,Appliances,General,2023-01-01,134,176.92
SKU182,Kitchen,General,2023-01-01,181,321.35
SKU183,Kitchen,General,2023-01-01,195,276.03
SKU184,Furniture,General,2023-01-01,42,83.43
SKU185,Furniture,General,2023-01-01,110,188.58
SKU186,Decor,General,2023-01-01,31,54.25
SKU187,Appliances,General,2023-01-01,128,182.68
SKU188,Kitchen,General,2023-01-01,107,163.62
SKU189,Kitchen,General,2023-01-01,93,142.87
SKU190,Kitchen,General,2023-01-01,81,147.94
SKU191,Kitchen,General,2023-01-01,74,139.45
SKU192,Furniture,General,2023-01-01,14,25.54
SKU193,Furniture,General,2023-01-01,99,144.24
SKU194,Furniture,General,2023-01-01,176,233.76
SKU195,Furniture,General,2023-01-01,73,105.09
SKU196,Decor,General,2023-01-01,169,237.73
SKU197,Decor,General,2023-01-01,131,231.69
SKU198,Appliances,General,2023-01-01,129,230.86
SKU199,Furniture,General,2023-01-01,52,89.65
SKU200,Furniture,General,2023-01-01,51,100.74
